T,c,h,i,l,n,o,s,t,v
"1710374819999","4005.6","4005.6","1m","4002.3","57","4003.2","ETH","1710374760000","25.4862"
"1710374879999","4006.6","4006.7","1m","4005.5","35","4005.5","ETH","1710374820000","12.3515"
"1710374939999","4005.6","4006.7","1m","4005.5","48","4006.6","ETH","1710374880000","31.0773"
"1710374999999","4004.5","4005.6","1m","4003.8","49","4005.5","ETH","1710374940000","37.7463"
"1710375059999","4002.8","4004.6","1m","4001.5","57","4004.5","ETH","1710375000000","26.7252"
"1710375119999","4005.8","4005.8","1m","4002.0","50","4002.3","ETH","1710375060000","45.0708"
"1710375179999","4005.0","4006.8","1m","4004.9","35","4005.8","ETH","1710375120000","17.8564"
"1710375239999","4003.8","4005.4","1m","4003.7","63","4004.9","ETH","1710375180000","35.1663"
"1710375299999","4005.7","4005.9","1m","4004.0","33","4004.0","ETH","1710375240000","9.849"
"1710375359999","4004.0","4007.1","1m","4003.9","68","4005.6","ETH","1710375300000","43.7959"
"1710375419999","4002.7","4003.8","1m","4002.2","31","4003.8","ETH","1710375360000","16.5646"
"1710375479999","4004.5","4004.9","1m","4002.1","30","4002.2","ETH","1710375420000","7.7418"
"1710375539999","4007.7","4008.4","1m","4004.6","31","4004.6","ETH","1710375480000","6.0935"
"1710375599999","4011.1","4011.3","1m","4008.0","50","4008.0","ETH","1710375540000","14.1343"
"1710375659999","4009.9","4012.9","1m","4008.9","73","4011.9","ETH","1710375600000","37.4362"
"1710375719999","4009.7","4011.4","1m","4009.6","34","4010.9","ETH","1710375660000","3.4001"
"1710375779999","4009.7","4009.7","1m","4007.5","54","4009.6","ETH","1710375720000","24.3612"
"1710375839999","4011.2","4011.3","1m","4009.6","30","4009.6","ETH","1710375780000","6.4679"
"1710375899999","4014.6","4014.9","1m","4011.3","81","4011.3","ETH","1710375840000","45.5708"
"1710375959999","4010.0","4013.7","1m","4010.0","43","4013.3","ETH","1710375900000","3.8074"
"1710376019999","4005.1","4010.0","1m","4005.1","75","4010.0","ETH","1710375960000","44.3037"
"1710376079999","4006.0","4007.1","1m","4004.7","48","4004.9","ETH","1710376020000","20.7042"
"1710376139999","4006.9","4007.2","1m","4006.0","29","4006.0","ETH","1710376080000","2.382"
"1710376199999","4009.2","4010.2","1m","4006.8","36","4006.8","ETH","1710376140000","29.5594"
"1710376259999","4006.2","4009.2","1m","4006.2","33","4009.2","ETH","1710376200000","2.0045"
"1710376319999","4004.8","4006.0","1m","4004.2","46","4006.0","ETH","1710376260000","32.1321"
"1710376379999","4005.3","4005.7","1m","4004.7","32","4004.7","ETH","1710376320000","11.067"
"1710376439999","4000.7","4005.3","1m","4000.7","72","4005.3","ETH","1710376380000","26.8839"
"1710376499999","4003.5","4005.2","1m","4000.8","73","4000.8","ETH","1710376440000","53.5291"
"1710376559999","3999.6","4003.8","1m","3999.0","84","4003.5","ETH","1710376500000","41.3583"
"1710376619999","3997.4","4002.2","1m","3997.4","102","4000.3","ETH","1710376560000","211.2123"
"1710376679999","3994.2","3997.4","1m","3994.0","132","3997.0","ETH","1710376620000","278.738"
"1710376739999","3992.9","3994.2","1m","3990.0","99","3994.2","ETH","1710376680000","61.0889"
"1710376799999","3994.0","3995.7","1m","3992.2","35","3993.7","ETH","1710376740000","3.5347"
"1710376859999","3992.6","3995.5","1m","3992.5","63","3993.9","ETH","1710376800000","15.4534"
"1710376919999","3989.6","3993.7","1m","3989.6","65","3992.5","ETH","1710376860000","32.7718"
"1710376979999","3992.6","3992.6","1m","3989.7","26","3989.7","ETH","1710376920000","2.4796"
"1710377039999","3993.0","3993.1","1m","3991.8","47","3991.8","ETH","1710376980000","60.8217"
"1710377099999","3993.9","3993.9","1m","3991.9","26","3991.9","ETH","1710377040000","1.769"
"1710377159999","3996.5","3997.1","1m","3993.6","35","3993.8","ETH","1710377100000","1.2411"
"1710377219999","3994.5","3996.3","1m","3994.0","47","3996.2","ETH","1710377160000","5.1106"
"1710377279999","3993.2","3994.4","1m","3993.0","43","3994.4","ETH","1710377220000","27.5232"
"1710377339999","3991.1","3993.6","1m","3991.1","36","3993.3","ETH","1710377280000","16.284"
"1710377399999","3988.4","3991.9","1m","3988.1","100","3991.2","ETH","1710377340000","33.893"
"1710377459999","3981.9","3988.5","1m","3981.7","156","3988.5","ETH","1710377400000","270.4644"
"1710377519999","3985.9","3985.9","1m","3981.9","129","3981.9","ETH","1710377460000","195.1015"
"1710377579999","3982.6","3985.8","1m","3982.6","45","3985.8","ETH","1710377520000","12.2293"
"1710377639999","3985.8","3985.9","1m","3982.2","66","3982.7","ETH","1710377580000","94.0515"
"1710377699999","3985.8","3986.5","1m","3984.7","38","3985.7","ETH","1710377640000","52.796"
"1710377759999","3986.2","3986.2","1m","3985.3","44","3985.7","ETH","1710377700000","30.0432"
"1710377819999","3982.2","3986.2","1m","3982.0","47","3986.2","ETH","1710377760000","14.4694"
"1710377879999","3980.8","3982.2","1m","3979.7","88","3982.2","ETH","1710377820000","31.0373"
"1710377939999","3980.4","3981.8","1m","3980.0","65","3980.8","ETH","1710377880000","30.6095"
"1710377999999","3980.0","3981.1","1m","3979.5","71","3980.2","ETH","1710377940000","142.4754"
"1710378059999","3974.6","3980.0","1m","3967.0","252","3980.0","ETH","1710378000000","273.7317"
"1710378119999","3964.6","3973.1","1m","3959.2","271","3973.0","ETH","1710378060000","218.4546"
"1710378179999","3972.4","3972.4","1m","3964.0","130","3964.0","ETH","1710378120000","102.4439"
"1710378239999","3967.4","3972.3","1m","3965.3","206","3972.3","ETH","1710378180000","545.7218"
"1710378299999","3963.5","3968.9","1m","3963.4","149","3967.7","ETH","1710378240000","317.1407"
"1710378359999","3966.8","3968.7","1m","3963.4","136","3963.5","ETH","1710378300000","300.9957"
"1710378419999","3971.5","3971.5","1m","3967.3","101","3967.9","ETH","1710378360000","443.4756"
"1710378479999","3974.9","3976.0","1m","3971.2","149","3971.4","ETH","1710378420000","462.0791"
"1710378539999","3975.7","3976.0","1m","3973.0","42","3974.8","ETH","1710378480000","21.9201"
"1710378599999","3978.1","3978.1","1m","3975.6","50","3975.7","ETH","1710378540000","11.727"
"1710378659999","3972.5","3978.1","1m","3972.5","54","3978.0","ETH","1710378600000","12.5744"
"1710378719999","3972.7","3975.1","1m","3971.0","67","3972.4","ETH","1710378660000","50.712"
"1710378779999","3972.6","3974.0","1m","3970.4","40","3972.6","ETH","1710378720000","43.635"
"1710378839999","3972.0","3973.9","1m","3969.5","82","3972.0","ETH","1710378780000","49.3206"
"1710378899999","3972.2","3973.3","1m","3971.7","32","3972.0","ETH","1710378840000","6.2257"
"1710378959999","3979.0","3979.0","1m","3972.2","57","3972.3","ETH","1710378900000","74.361"
"1710379019999","3979.5","3980.8","1m","3977.5","67","3978.8","ETH","1710378960000","142.9353"
"1710379079999","3976.7","3979.1","1m","3976.4","28","3979.1","ETH","1710379020000","9.4258"
"1710379139999","3976.5","3979.3","1m","3976.3","55","3976.5","ETH","1710379080000","14.0777"
"1710379199999","3974.3","3976.6","1m","3972.2","50","3976.6","ETH","1710379140000","9.1344"
"1710379259999","3973.6","3974.8","1m","3971.8","60","3974.3","ETH","1710379200000","19.2031"
"1710379319999","3978.2","3978.6","1m","3973.2","63","3973.2","ETH","1710379260000","32.785"
"1710379379999","3975.4","3978.9","1m","3975.4","50","3978.5","ETH","1710379320000","37.7114"
"1710379439999","3975.5","3976.2","1m","3974.2","53","3975.5","ETH","1710379380000","14.8578"
"1710379499999","3976.2","3976.4","1m","3975.3","38","3975.3","ETH","1710379440000","24.5028"
"1710379559999","3975.7","3976.9","1m","3975.7","39","3975.8","ETH","1710379500000","13.7791"
"1710379619999","3974.0","3975.9","1m","3973.1","44","3975.7","ETH","1710379560000","2.714"
"1710379679999","3968.0","3973.9","1m","3968.0","72","3973.9","ETH","1710379620000","36.1357"
"1710379739999","3973.6","3973.6","1m","3968.5","57","3968.5","ETH","1710379680000","140.8214"
"1710379799999","3972.4","3973.6","1m","3971.1","60","3973.2","ETH","1710379740000","34.5773"
"1710379859999","3977.2","3977.3","1m","3972.4","44","3972.4","ETH","1710379800000","4.197"
"1710379919999","3976.0","3978.8","1m","3976.0","42","3977.2","ETH","1710379860000","5.4265"
"1710379979999","3976.3","3976.3","1m","3974.4","34","3975.9","ETH","1710379920000","15.528"
"1710380039999","3978.2","3978.2","1m","3975.0","49","3976.3","ETH","1710379980000","8.1457"
"1710380099999","3974.1","3977.5","1m","3974.0","29","3977.5","ETH","1710380040000","2.1473"
"1710380159999","3968.5","3974.5","1m","3968.5","62","3974.2","ETH","1710380100000","106.1528"
"1710380219999","3965.6","3968.6","1m","3964.9","71","3968.6","ETH","1710380160000","44.1967"
"1710380279999","3966.6","3967.5","1m","3964.2","67","3965.4","ETH","1710380220000","54.4046"
"1710380339999","3968.0","3968.9","1m","3965.4","65","3966.4","ETH","1710380280000","19.1987"
"1710380399999","3970.2","3970.2","1m","3967.4","70","3968.0","ETH","1710380340000","75.2281"
"1710380459999","3969.9","3970.1","1m","3969.0","35","3970.1","ETH","1710380400000","7.8717"
"1710380519999","3970.0","3970.4","1m","3967.4","88","3970.0","ETH","1710380460000","87.5677"
"1710380579999","3969.4","3970.4","1m","3969.1","27","3970.1","ETH","1710380520000","5.252"
"1710380639999","3969.8","3970.4","1m","3969.3","20","3969.3","ETH","1710380580000","3.6499"
"1710380699999","3972.8","3972.9","1m","3970.7","26","3970.7","ETH","1710380640000","51.7562"
"1710380759999","3974.2","3975.9","1m","3972.9","31","3972.9","ETH","1710380700000","5.2683"
"1710380819999","3969.4","3974.3","1m","3969.4","24","3974.3","ETH","1710380760000","4.812"
"1710380879999","3968.4","3969.8","1m","3968.4","28","3969.7","ETH","1710380820000","19.1131"
"1710380939999","3970.4","3970.5","1m","3968.0","41","3968.3","ETH","1710380880000","7.8018"
"1710380999999","3976.4","3976.4","1m","3971.4","28","3971.4","ETH","1710380940000","21.1089"
"1710381059999","3978.2","3978.2","1m","3975.5","34","3975.8","ETH","1710381000000","113.7362"
"1710381119999","3976.5","3978.2","1m","3976.0","59","3978.2","ETH","1710381060000","39.2951"
"1710381179999","3976.1","3977.0","1m","3976.0","15","3976.4","ETH","1710381120000","1.8219"
"1710381239999","3978.2","3978.3","1m","3976.0","26","3976.0","ETH","1710381180000","6.264"
"1710381299999","3980.5","3980.8","1m","3978.2","57","3978.3","ETH","1710381240000","39.0034"
"1710381359999","3983.2","3984.8","1m","3980.9","88","3980.9","ETH","1710381300000","149.0906"
"1710381419999","3986.7","3989.4","1m","3983.1","73","3983.1","ETH","1710381360000","156.2497"
"1710381479999","3988.9","3988.9","1m","3986.9","32","3987.5","ETH","1710381420000","13.3284"
"1710381539999","3991.9","3992.7","1m","3986.3","120","3988.4","ETH","1710381480000","206.2761"
"1710381599999","3989.1","3992.4","1m","3989.1","68","3992.0","ETH","1710381540000","95.3727"
"1710381659999","3986.5","3989.2","1m","3986.5","60","3989.1","ETH","1710381600000","24.1515"
"1710381719999","3988.3","3988.4","1m","3986.0","55","3986.6","ETH","1710381660000","94.4537"
"1710381779999","3987.5","3987.8","1m","3987.1","33","3987.8","ETH","1710381720000","16.8945"
"1710381839999","3989.6","3989.6","1m","3987.7","25","3987.7","ETH","1710381780000","17.66"
"1710381899999","3993.7","3993.8","1m","3989.4","64","3989.4","ETH","1710381840000","38.3645"
"1710381959999","3997.4","3997.4","1m","3991.3","89","3993.8","ETH","1710381900000","81.416"
"1710382019999","3995.2","3997.5","1m","3995.0","51","3997.3","ETH","1710381960000","13.7542"
"1710382079999","3992.4","3995.8","1m","3992.3","27","3994.9","ETH","1710382020000","5.619"
"1710382139999","3993.5","3993.7","1m","3991.0","33","3992.3","ETH","1710382080000","12.0924"
"1710382199999","3992.8","3994.2","1m","3991.9","21","3992.7","ETH","1710382140000","3.7628"
"1710382259999","3989.7","3992.9","1m","3989.6","38","3992.8","ETH","1710382200000","16.2796"
"1710382319999","3991.5","3991.9","1m","3989.6","23","3989.7","ETH","1710382260000","12.1758"
"1710382379999","3994.1","3994.2","1m","3991.5","27","3991.5","ETH","1710382320000","30.2714"
"1710382439999","3993.7","3994.0","1m","3992.7","29","3994.0","ETH","1710382380000","11.8055"
"1710382499999","3993.9","3996.4","1m","3993.8","40","3993.8","ETH","1710382440000","2.3099"
